time,date,hour,precip [mm/day],TRAPPING_CREEK_NEAR_THE_MOUTH [m3/s],TRAPPING_CREEK_NEAR_THE_MOUTH (observed) [m3/s]
300,1980-10-27,00:00:00.00,0,0.257775,0.194
301,1980-10-28,00:00:00.00,0,0.254338,0.183
302,1980-10-29,00:00:00.00,0,0.249005,0.191
303,1980-10-30,00:00:00.00,0,0.243812,0.191
304,1980-10-31,00:00:00.00,2.47732,0.238755,0.19
305,1980-11-01,00:00:00.00,2.28618,0.233834,0.196
306,1980-11-02,00:00:00.00,2.34553,0.229557,0.251
307,1980-11-03,00:00:00.00,0,0.226356,0.303
308,1980-11-04,00:00:00.00,4.92453,0.222717,0.282
309,1980-11-05,00:00:00.00,0,0.218839,0.303
310,1980-11-06,00:00:00.00,0,0.219581,0.332
311,1980-11-07,00:00:00.00,9.4465,0.240949,0.344
312,1980-11-08,00:00:00.00,2.9806,0.263831,0.558
313,1980-11-09,00:00:00.00,5.01143,0.282721,0.637
314,1980-11-10,00:00:00.00,5.18946,0.294513,0.514
315,1980-11-11,00:00:00.00,0,0.288098,0.471
316,1980-11-12,00:00:00.00,0,0.281857,0.365
317,1980-11-13,00:00:00.00,0,0.275785,0.286
318,1980-11-14,00:00:00.00,0,0.269876,0.249
319,1980-11-15,00:00:00.00,0,0.264125,0.238
320,1980-11-16,00:00:00.00,0,0.258527,0.238
321,1980-11-17,00:00:00.00,0,0.253076,0.241
322,1980-11-18,00:00:00.00,1.93012,0.247769,0.252
323,1980-11-19,00:00:00.00,0,0.242601,0.261
324,1980-11-20,00:00:00.00,0,0.237567,0.255
325,1980-11-21,00:00:00.00,0,0.232663,0.252
326,1980-11-22,00:00:00.00,2.55961,0.227886,0.255
327,1980-11-23,00:00:00.00,0,0.223231,0.275
328,1980-11-24,00:00:00.00,0,0.218694,0.3
329,1980-11-25,00:00:00.00,3.43339,0.214273,0.314
330,1980-11-26,00:00:00.00,0,0.209962,0.317
331,1980-11-27,00:00:00.00,0,0.20576,0.311
332,1980-11-28,00:00:00.00,0,0.201663,0.309
333,1980-11-29,00:00:00.00,7.23667,0.197668,0.3
334,1980-11-30,00:00:00.00,0,0.193771,0.292
335,1980-12-01,00:00:00.00,0,0.18997,0.275
336,1980-12-02,00:00:00.00,8.47405,0.186262,0.263
337,1980-12-03,00:00:00.00,11.0081,0.182644,0.252
338,1980-12-04,00:00:00.00,17.2114,0.179114,0.235
339,1980-12-05,00:00:00.00,7.24225,0.175669,0.218
340,1980-12-06,00:00:00.00,0,0.172306,0.195
341,1980-12-07,00:00:00.00,0,0.169024,0.176
342,1980-12-08,00:00:00.00,2.60026,0.16582,0.164
343,1980-12-09,00:00:00.00,0,0.162691,0.167
344,1980-12-10,00:00:00.00,3.71046,0.159636,0.17
345,1980-12-11,00:00:00.00,0,0.156653,0.178
346,1980-12-12,00:00:00.00,0,0.153739,0.19
347,1980-12-13,00:00:00.00,0,0.150893,0.195
348,1980-12-14,00:00:00.00,2.58291,0.148112,0.198
349,1980-12-15,00:00:00.00,0,0.145395,0.207
350,1980-12-16,00:00:00.00,0,0.14274,0.218
351,1980-12-17,00:00:00.00,0,0.140146,0.221
352,1980-12-18,00:00:00.00,0,0.137611,0.224
353,1980-12-19,00:00:00.00,0,0.135132,0.218
354,1980-12-20,00:00:00.00,0,0.13271,0.212
355,1980-12-21,00:00:00.00,5.57405,0.130341,0.21
356,1980-12-22,00:00:00.00,12.1521,0.128026,0.212
357,1980-12-23,00:00:00.00,0,0.125761,0.218
358,1980-12-24,00:00:00.00,2.96616,0.123546,0.221
359,1980-12-25,00:00:00.00,0,0.121381,0.218
360,1980-12-26,00:00:00.00,0,0.119262,0.218
361,1980-12-27,00:00:00.00,2.19371,0.118492,0.221
362,1980-12-28,00:00:00.00,0,0.121276,0.425
363,1980-12-29,00:00:00.00,0,0.12274,0.637
364,1980-12-30,00:00:00.00,0,0.120646,0.592
365,1980-12-31,00:00:00.00,2.93897,0.118548,0.552
366,1981-01-01,00:00:00.00,2.0488,0.116482,0.501
367,1981-01-02,00:00:00.00,0,0.114461,0.462
368,1981-01-03,00:00:00.00,0,0.112484,0.416
369,1981-01-04,00:00:00.00,0,0.110549,0.43
370,1981-01-05,00:00:00.00,0,0.108656,0.447
371,1981-01-06,00:00:00.00,0,0.106804,0.425
372,1981-01-07,00:00:00.00,0,0.104991,0.399
373,1981-01-08,00:00:00.00,0,0.103216,0.388
374,1981-01-09,00:00:00.00,0,0.101479,0.408
375,1981-01-10,00:00:00.00,0,0.0997785,0.422
376,1981-01-11,00:00:00.00,0,0.0981134,0.419
377,1981-01-12,00:00:00.00,0,0.096483,0.408
378,1981-01-13,00:00:00.00,0,0.0948865,0.388
379,1981-01-14,00:00:00.00,0,0.093323,0.377
380,1981-01-15,00:00:00.00,0,0.0917916,0.362
381,1981-01-16,00:00:00.00,0,0.0902916,0.368
382,1981-01-17,00:00:00.00,0,0.0888222,0.354
383,1981-01-18,00:00:00.00,0,0.0873826,0.343
384,1981-01-19,00:00:00.00,0,0.0859722,0.374
385,1981-01-20,00:00:00.00,0,0.0845902,0.411
386,1981-01-21,00:00:00.00,0,0.083236,0.456
387,1981-01-22,00:00:00.00,2.72126,0.0819088,0.493
388,1981-01-23,00:00:00.00,2.97732,0.0806081,0.501
389,1981-01-24,00:00:00.00,2.49274,0.0795139,0.467
390,1981-01-25,00:00:00.00,3.17405,0.0788848,0.382
391,1981-01-26,00:00:00.00,2.15536,0.0780855,0.345
392,1981-01-27,00:00:00.00,3.75863,0.0768569,0.314
393,1981-01-28,00:00:00.00,3.54322,0.0756524,0.32
394,1981-01-29,00:00:00.00,3.76519,0.0744716,0.328
395,1981-01-30,00:00:00.00,0,0.0733138,0.337
396,1981-01-31,00:00:00.00,0,0.0721785,0.306
397,1981-02-01,00:00:00.00,0,0.0710652,0.292
398,1981-02-02,00:00:00.00,0,0.0699733,0.283
399,1981-02-03,00:00:00.00,0,0.0689025,0.258
400,1981-02-04,00:00:00.00,0,0.0678521,0.232
401,1981-02-05,00:00:00.00,0,0.0668217,0.218
402,1981-02-06,00:00:00.00,0,0.0658109,0.215
403,1981-02-07,00:00:00.00,0,0.0648192,0.218
404,1981-02-08,00:00:00.00,0,0.0638461,0.227
405,1981-02-09,00:00:00.00,0,0.0628914,0.212
406,1981-02-10,00:00:00.00,0,0.0619544,0.178
407,1981-02-11,00:00:00.00,0,0.061035,0.198
408,1981-02-12,00:00:00.00,7.9806,0.0601325,0.246
409,1981-02-13,00:00:00.00,5.65208,0.0592468,0.266
410,1981-02-14,00:00:00.00,6.19274,0.0583773,0.323
411,1981-02-15,00:00:00.00,0,0.0575238,0.433
412,1981-02-16,00:00:00.00,5.15208,0.0566859,0.504
413,1981-02-17,00:00:00.00,3.73667,0.0562698,0.547
414,1981-02-18,00:00:00.00,2.47732,0.0620406,0.552
415,1981-02-19,00:00:00.00,7.66191,0.0747853,0.53
416,1981-02-20,00:00:00.00,3.15536,0.0966149,0.515
417,1981-02-21,00:00:00.00,2.57732,0.110464,0.521
418,1981-02-22,00:00:00.00,0,0.111269,0.532
419,1981-02-23,00:00:00.00,0,0.11505,0.527
420,1981-02-24,00:00:00.00,0,0.115878,0.518
421,1981-02-25,00:00:00.00,14.6213,0.113586,0.493
422,1981-02-26,00:00:00.00,4.95536,0.111464,0.47
423,1981-02-27,00:00:00.00,2.4147,0.109861,0.467
424,1981-02-28,00:00:00.00,0,0.108143,0.464
425,1981-03-01,00:00:00.00,0,0.106458,0.453
426,1981-03-02,00:00:00.00,0,0.104866,0.439
427,1981-03-03,00:00:00.00,0,0.102856,0.402
428,1981-03-04,00:00:00.00,7.53012,0.100847,0.462
429,1981-03-05,00:00:00.00,15.4488,0.0988898,0.487
430,1981-03-06,00:00:00.00,0,0.096983,0.459
431,1981-03-07,00:00:00.00,0,0.0951248,0.445
432,1981-03-08,00:00:00.00,0,0.0933135,0.464
433,1981-03-09,00:00:00.00,0,0.0916242,0.496
434,1981-03-10,00:00:00.00,0,0.0907004,0.547
435,1981-03-11,00:00:00.00,0,0.0938449,0.578
436,1981-03-12,00:00:00.00,0,0.106586,0.691
437,1981-03-13,00:00:00.00,0,0.125863,0.682
438,1981-03-14,00:00:00.00,0,0.149222,0.674
439,1981-03-15,00:00:00.00,0,0.188554,0.722
440,1981-03-16,00:00:00.00,4.79601,0.243756,0.793
441,1981-03-17,00:00:00.00,3.59177,0.290998,0.864
442,1981-03-18,00:00:00.00,0,0.307702,0.881
443,1981-03-19,00:00:00.00,0,0.307528,0.821
444,1981-03-20,00:00:00.00,0,0.3072,0.796
445,1981-03-21,00:00:00.00,0,0.307744,0.759
446,1981-03-22,00:00:00.00,0,0.306479,0.767
447,1981-03-23,00:00:00.00,0,0.313752,0.799
448,1981-03-24,00:00:00.00,0,0.321286,0.85
449,1981-03-25,00:00:00.00,3.37732,0.318228,0.912
450,1981-03-26,00:00:00.00,0,0.334849,0.954
451,1981-03-27,00:00:00.00,0,0.364684,1.01
452,1981-03-28,00:00:00.00,0,0.404741,1.06
453,1981-03-29,00:00:00.00,4.43339,0.429493,1.11
454,1981-03-30,00:00:00.00,5.89274,0.469923,1.31
455,1981-03-31,00:00:00.00,0,0.519899,1.37
456,1981-04-01,00:00:00.00,0,0.536771,1.29
457,1981-04-02,00:00:00.00,0,0.542525,1.35
458,1981-04-03,00:00:00.00,4.70581,0.530178,1.27
459,1981-04-04,00:00:00.00,0,0.514296,1.21
460,1981-04-05,00:00:00.00,2.74971,0.499023,1.14
461,1981-04-06,00:00:00.00,8.55231,0.487576,1.17
462,1981-04-07,00:00:00.00,4.16837,0.476868,1.2
463,1981-04-08,00:00:00.00,0,0.462639,1.12
464,1981-04-09,00:00:00.00,3.067,0.448664,1.11
465,1981-04-10,00:00:00.00,0,0.435228,1.07
466,1981-04-11,00:00:00.00,0,0.422307,0.994
